"","COMMAREA","COMMAREANO","NOEVENTS"
"1","ALBANY PARK",14,948
"2","ARCHER HEIGHTS",57,359
"3","ARMOUR SQUARE",34,43
"4","ASHBURN",70,2250
"5","AUBURN GRESHAM",71,2470
"6","AUSTIN",25,4855
"7","AVALON PARK",45,1213
"8","AVONDALE",21,635
"9","BELMONT CRAGIN",19,1127
"10","BEVERLY",72,1073
"11","BRIDGEPORT",60,326
"12","BRIGHTON PARK",58,552
"13","BURNSIDE",47,473
"14","CALUMET HEIGHTS",48,2381
"15","CHATHAM",44,2730
"16","CHICAGO LAWN",66,3795
"17","CLEARING",64,1444
"18","DOUGLAS",35,50
"19","DUNNING",17,1220
"20","EAST GARFIELD PARK",27,440
"21","EAST SIDE",52,371
"22","EDGEWATER",77,345
"23","EDISON PARK",9,517
"24","ENGLEWOOD",68,542
"25","FOREST GLEN",12,748
"26","FULLER PARK",37,60
"27","GAGE PARK",63,883
"28","GARFIELD RIDGE",56,1284
"29","GRAND BOULEVARD",38,185
"30","GREATER GRAND CROSSING",69,1536
"31","HEGEWISCH",55,253
"32","HERMOSA",20,411
"33","HUMBOLDT PARK",23,1124
"34","HYDE PARK",41,86
"35","IRVING PARK",16,753
"36","JEFFERSON PARK",11,651
"37","KENWOOD",39,76
"38","LAKE VIEW",6,595
"39","LINCOLN PARK",7,334
"40","LINCOLN SQUARE",4,366
"41","LOGAN SQUARE",22,803
"42","LOOP",32,87
"43","LOWER WEST SIDE",31,345
"44","MCKINLEY PARK",59,195
"45","MONTCLARE",18,211
"46","MORGAN PARK",75,1071
"47","MOUNT GREENWOOD",74,760
"48","NEAR NORTH SIDE",8,156
"49","NEAR SOUTH SIDE",33,42
"50","NEAR WEST SIDE",28,290
"51","NEW CITY",61,745
"52","NORTH CENTER",5,457
"53","NORTH LAWNDALE",29,673
"54","NORTH PARK",13,506
"55","NORWOOD PARK",10,1760
"56","O'HARE",76,121
"57","OAKLAND",36,20
"58","PORTAGE PARK",15,987
"59","PULLMAN",50,652
"60","RIVERDALE",54,54
"61","ROGERS PARK",1,380
"62","ROSELAND",49,2694
"63","SOUTH CHICAGO",46,1312
"64","SOUTH DEERING",51,709
"65","SOUTH LAWNDALE",30,692
"66","SOUTH SHORE",43,1193
"67","UPTOWN",3,225
"68","WASHINGTON HEIGHTS",73,2392
"69","WASHINGTON PARK",40,113
"70","WEST ELSDON",62,557
"71","WEST ENGLEWOOD",67,1438
"72","WEST GARFIELD PARK",26,622
"73","WEST LAWN",65,1648
"74","WEST PULLMAN",53,1498
"75","WEST RIDGE",2,998
"76","WEST TOWN",24,745
"77","WOODLAWN",42,356
