,COMMAREA,POPTOTAL,POPASIAN,PCASIAN,POPAFRICAN,PCAFRICAN,POPLATIN,PCLATIN,POPEUROPEAN,PCEUROPEAN,POPOTHER,PCOTHER,PCFORBORN,PCHIGHSCHOOLPLUS,PCBAPLUS,PCOWNEROCC,PCINCBELPOV,PCINC10,PCINC15,PCINC20,PCINC25,PCINC30,PCINC35,PCINC40,PCINC45,PCINC50,PCINC60,PCINC75,PCINC100,PCINC125,PCINC150,PCINC200,PCINC200PLUS,PERCENT.HOUSEHOLDS.BELOW.POVERTY,PERCENT.AGED.16..UNEMPLOYED,PERCENT.AGED.25..WITHOUT.HIGH.SCHOOL.DIPLOMA,PERCENT.AGED.UNDER.18.OR.OVER.64,PER.CAPITA.INCOME,COMMAREANO
1,ALBANY PARK,52930,7387,0.139561685,2017,0.038106934,26892,0.508067259,15421,0.291347062,1213,0.02291706,0.43880597,0.730910869,0.293860406,0.391635212,0.19490684,0.072689638,0.053390966,0.04906855,0.069463046,0.057652502,0.04298064,0.044076464,0.038171192,0.046998661,0.084195787,0.109825886,0.116157312,0.076768538,0.041763059,0.049616462,0.047181298,19.2,10,32.9,32,21323,14
2,ARCHER HEIGHTS,13998,333,0.023789113,111,0.007929704,10585,0.756179454,2890,0.206458065,79,0.005643663,0.424417774,0.677978084,0.101567103,0.576452599,0.151994843,0.05351682,0.03567788,0.051223242,0.081804281,0.071610601,0.080530071,0.099388379,0.059633028,0.042558614,0.094801223,0.101172273,0.088685015,0.062945973,0.044087666,0.028287462,0.004077472,14.1,16.5,35.9,39.2,16134,57
3,ARMOUR SQUARE,13850,9750,0.703971119,1479,0.106787004,543,0.039205776,1610,0.116245487,468,0.033790614,0.567797834,0.662904053,0.210466906,0.356893204,0.373167738,0.254951456,0.125242718,0.067184466,0.069902913,0.06,0.054368932,0.036893204,0.029708738,0.018058252,0.052621359,0.075145631,0.054757282,0.033980583,0.042524272,0.014174757,0.010485437,40.1,16.7,34.5,38.3,16148,34
4,ASHBURN,42809,195,0.004555117,20584,0.48083347,15384,0.359363685,6232,0.145576865,414,0.009670864,0.159452452,0.836840149,0.203717472,0.851595661,0.128175931,0.043625216,0.027275586,0.039380601,0.04566892,0.04802704,0.050070744,0.037415501,0.04173872,0.037494105,0.081905361,0.118141802,0.172771577,0.11672693,0.06516271,0.058795787,0.015799403,10.4,11.7,17.7,36.9,23482,70
5,AUBURN GRESHAM,47611,126,0.002646447,46204,0.970448006,672,0.014114385,175,0.003675621,434,0.009115541,0.01100586,0.820938582,0.132036158,0.433908381,0.306648088,0.163364028,0.083809302,0.090569997,0.093717216,0.068539457,0.0491316,0.056300268,0.045284998,0.036076466,0.082352256,0.083692738,0.07273575,0.028907798,0.02203054,0.016726891,0.006760695,27.6,28.3,18.5,41.9,15528,71
6,AUSTIN,99711,475,0.004763767,83987,0.842304259,10249,0.102787055,4213,0.042252109,787,0.00789281,0.042322311,0.754961708,0.116310901,0.391145398,0.321790069,0.156396195,0.090064132,0.087213805,0.075998389,0.070793444,0.068067045,0.057533228,0.045791121,0.034234904,0.06781919,0.073612789,0.080149952,0.040865012,0.022647706,0.016947052,0.011866035,28.6,22.6,24.4,37.9,15957,25
7,AVALON PARK,10098,30,0.002970885,9721,0.962665874,59,0.005842741,220,0.021786492,68,0.006734007,0.018815607,0.895170143,0.224341383,0.689125911,0.181292381,0.109781478,0.047866805,0.063475546,0.077003122,0.031997919,0.064776275,0.051768991,0.057752341,0.062174818,0.057752341,0.06503642,0.131633715,0.082726327,0.055671176,0.028095734,0.012486993,17.2,21.1,10.6,39.3,24454,45
8,AVONDALE,39117,1297,0.033156939,873,0.022317662,23537,0.601707697,12629,0.322851957,781,0.019965744,0.36677148,0.738456157,0.256801928,0.383628319,0.191788223,0.074262537,0.052654867,0.057964602,0.066224189,0.073082596,0.067846608,0.057522124,0.056710914,0.058259587,0.089011799,0.102876106,0.098525074,0.044764012,0.043289086,0.034292035,0.022713864,15.3,9.2,24.7,31,20039,21
9,BELMONT CRAGIN,79069,1273,0.016099862,2804,0.035462697,62790,0.794116531,11249,0.142268146,953,0.012052764,0.386826696,0.611878629,0.109018096,0.491211755,0.210575151,0.054217428,0.065749093,0.06309867,0.074537338,0.07035246,0.068167023,0.066353576,0.05793732,0.044592207,0.104528969,0.10276202,0.09620571,0.067841533,0.031526086,0.027201711,0.004928857,18.7,14.6,37.3,37.3,15461,19
10,BEVERLY,21002,83,0.003952005,7601,0.361917913,1169,0.055661366,11761,0.559994286,388,0.018474431,0.032520712,0.973094802,0.555500775,0.817698645,0.036032601,0.028036141,0.012622907,0.027504651,0.025378687,0.019532288,0.028567632,0.040127558,0.038400213,0.025245815,0.059526973,0.08437417,0.155328196,0.109487111,0.086765878,0.137124635,0.121977146,5.1,8,3.7,40.5,39523,72
11,BRIDGEPORT,31939,10868,0.340273647,874,0.027364664,8941,0.279939885,10437,0.326779173,819,0.025642631,0.342496634,0.768557359,0.247492249,0.446044942,0.206004271,0.095563421,0.072269323,0.065355173,0.065025928,0.061404231,0.072187011,0.052761544,0.042308009,0.045188904,0.073833237,0.093258704,0.118116717,0.052349988,0.034653058,0.031772162,0.023952589,18.9,13.7,22.2,31.3,22694,60
12,BRIGHTON PARK,44130,3032,0.068706096,577,0.013075006,37509,0.84996601,2950,0.066847949,62,0.00140494,0.460774983,0.542761852,0.075399031,0.464786382,0.271982099,0.076685581,0.067923899,0.073014019,0.080941255,0.115403872,0.075183578,0.071929239,0.076935915,0.056158211,0.074182243,0.087533378,0.074098798,0.037049399,0.018107477,0.007426569,0.007426569,23.6,13.9,45.1,39.3,13089,58
13,BURNSIDE,2618,0,0,2618,1,0,0,0,0,0,0,0.028647823,0.781602709,0.093115124,0.506104329,0.319327731,0.117647059,0.13318535,0.185349612,0.061043285,0.028856826,0.092119867,0.056603774,0.019977802,0,0.118756937,0.052164262,0.044395117,0.05327414,0,0.029966704,0.006659267,33,18.6,19.3,42.7,12515,47
14,CALUMET HEIGHTS,13400,19,0.00141791,12462,0.93,519,0.038731343,269,0.020074627,131,0.009776119,0.041119403,0.894632009,0.279553829,0.778591549,0.15187038,0.055962441,0.04600939,0.052206573,0.061971831,0.041690141,0.052394366,0.046760563,0.045633803,0.070610329,0.096901408,0.087887324,0.154553991,0.090892019,0.043943662,0.030985915,0.021596244,11.5,20,11,44,28887,48
15,CHATHAM,31493,90,0.002857778,30636,0.972787604,230,0.00730321,202,0.006414124,335,0.010637284,0.008509828,0.869346965,0.253753339,0.372633455,0.264514483,0.167272997,0.081297795,0.080926572,0.06607766,0.066597372,0.047813498,0.059024426,0.048630188,0.042764867,0.075506719,0.085752469,0.083896355,0.040166308,0.021753657,0.024649194,0.007869924,27.8,24,14.5,40.3,18881,44
16,CHICAGO LAWN,56293,421,0.007478727,27974,0.496935676,25583,0.454461478,1854,0.032934823,461,0.008189295,0.232284654,0.696759769,0.089901439,0.438557717,0.331190574,0.147764587,0.070219752,0.098446577,0.071166961,0.070472342,0.075145239,0.065294266,0.057211417,0.03801465,0.079628694,0.072366759,0.092447588,0.031068452,0.018060116,0.010040414,0.002652185,27.9,17.1,31.2,40.6,13231,66
17,CLEARING,24452,345,0.014109275,167,0.006829707,12005,0.490961885,11776,0.481596597,159,0.006502536,0.219082284,0.835411772,0.172901982,0.72464455,0.100159699,0.04028436,0.036611374,0.06978673,0.062559242,0.050118483,0.044312796,0.032819905,0.031161137,0.04063981,0.089336493,0.124881517,0.158056872,0.108293839,0.051658768,0.041232227,0.018246445,8.9,9.5,18.8,37.6,25113,64
18,DOUGLAS,19430,2540,0.130725682,13815,0.711013896,426,0.021924858,2329,0.119866186,320,0.016469377,0.159855893,0.85491176,0.379900047,0.189394775,0.368929164,0.243413075,0.083893727,0.055892404,0.068018962,0.030647117,0.035828464,0.041891743,0.050821299,0.036820637,0.069341859,0.109249256,0.078271414,0.039686914,0.014221144,0.027339874,0.01466211,29.6,18.2,14.3,30.7,23791,35
19,DUNNING,43053,1583,0.036768634,694,0.016119666,11255,0.261421968,29060,0.674981999,461,0.010707732,0.330313799,0.855579517,0.228555795,0.744526502,0.109863486,0.053264493,0.040847003,0.048754983,0.053068427,0.039278479,0.056466898,0.039017058,0.055551925,0.035618587,0.068949742,0.116528331,0.151493366,0.111430625,0.063786681,0.041892687,0.024050716,10.6,10,16.2,33.6,26282,17
20,EAST GARFIELD PARK,20271,59,0.002910562,18543,0.914755069,680,0.033545459,827,0.040797198,162,0.007991712,0.013122194,0.790228903,0.132815169,0.232524342,0.432584835,0.270600203,0.128760355,0.073535823,0.058567069,0.068304026,0.039238483,0.037349222,0.05275396,0.020491208,0.051010028,0.061618951,0.078331638,0.02862956,0.010754251,0.013951461,0.006103764,42.4,19.6,21.3,43.2,12961,27
21,EAST SIDE,23739,34,0.001432242,398,0.01676566,19148,0.806605164,4086,0.172121825,73,0.003075108,0.307763596,0.699671147,0.125750643,0.69281143,0.224884015,0.065634767,0.04985861,0.070843876,0.073820509,0.066378925,0.06593243,0.064890609,0.05700253,0.041077541,0.070099717,0.115493377,0.111474922,0.072332192,0.030361661,0.035868433,0.0089299,19.2,12.1,31.9,42.8,17104,52
22,EDGEWATER,55276,6482,0.117266083,7685,0.139029597,9007,0.162945944,30151,0.545462769,1951,0.035295607,0.287900716,0.908426887,0.544858847,0.383864104,0.183669198,0.113781436,0.068471171,0.060343925,0.043008127,0.058913809,0.051588824,0.05657679,0.052774774,0.030137082,0.073842827,0.092015766,0.109281803,0.060029998,0.04391503,0.044752171,0.040566466,18.2,9.2,9.7,23.8,33385,77
23,EDISON PARK,10993,218,0.019830801,117,0.010643137,857,0.077958701,9701,0.882470663,100,0.009096698,0.143091058,0.922222222,0.419082126,0.784680472,0.024470117,0.021376086,0.020262748,0.025829437,0.043197506,0.022044088,0.059674905,0.049654865,0.032064128,0.026274772,0.067690937,0.093965709,0.167891338,0.113783122,0.064573592,0.107103095,0.084613672,3.3,6.5,7.4,35.3,40959,9
24,ENGLEWOOD,27297,73,0.002674287,26054,0.95446386,543,0.019892296,226,0.008279298,401,0.014690259,0.015313038,0.715274314,0.060224439,0.284798633,0.499575818,0.292062814,0.123170601,0.107039846,0.080226472,0.04657622,0.068902895,0.032261511,0.035466296,0.034932165,0.064095716,0.045614785,0.030659118,0.021472065,0.010041662,0.002777481,0.004700353,46.6,28,28.5,42.5,11888,68
25,FOREST GLEN,26104,3928,0.150475023,218,0.008351211,3220,0.123352743,18412,0.705332516,326,0.012488508,0.233565737,0.921003963,0.532575958,0.88395799,0.055583846,0.050658979,0.028727348,0.023887974,0.028521417,0.045613674,0.041083196,0.029242175,0.031198517,0.032845964,0.051791598,0.092668863,0.101009061,0.108731466,0.096272652,0.09699341,0.140753707,7.5,6.8,4.9,40.5,44164,12
26,FULLER PARK,2543,0,0,2289,0.900117971,191,0.07510814,52,0.020448289,11,0.0043256,0.036177743,0.760416667,0.133101852,0.329113924,0.365969206,0.334538879,0.121157324,0.118444846,0.028028933,0.072332731,0.03074141,0.037070524,0.047920434,0.021699819,0.044303797,0.025316456,0.060578662,0.050632911,0,0,0.007233273,51.2,33.9,26.6,44.9,10432,37
27,GAGE PARK,40381,333,0.008246453,1336,0.033084867,37260,0.922711176,1421,0.035189817,31,0.000767688,0.4605879,0.51143682,0.05649567,0.544915882,0.244969554,0.075864988,0.052269601,0.089725955,0.075441752,0.084858745,0.080203153,0.07078616,0.05629034,0.062850492,0.082001905,0.101682362,0.098296477,0.037985398,0.020209502,0.009416993,0.002116178,23.4,18.2,51.5,38.8,12171,63
28,GARFIELD RIDGE,34743,512,0.014736782,1461,0.042051636,15297,0.44029013,17169,0.494171488,304,0.008749964,0.22652045,0.821834755,0.217344037,0.819544465,0.079742877,0.041115391,0.045637247,0.049991626,0.046223413,0.062719812,0.053173673,0.035504941,0.040529225,0.024870206,0.085831519,0.106096131,0.131050075,0.102746609,0.072433428,0.071093619,0.030983085,8.8,11.3,19.3,38.1,26353,56
29,GRAND BOULEVARD,22531,102,0.004527096,20748,0.920864587,474,0.021037681,702,0.031157072,505,0.022413564,0.021392748,0.84312793,0.26414838,0.257128413,0.340696839,0.220728008,0.100707786,0.069969666,0.063599596,0.041253792,0.047927199,0.048837209,0.029726997,0.029726997,0.067745197,0.072699697,0.086248736,0.053286148,0.011526795,0.032052578,0.0239636,29.3,24.3,15.9,39.5,23472,38
30,GREATER GRAND CROSSING,32849,20,0.000608847,31332,0.95381899,602,0.018326281,419,0.012755335,476,0.014490548,0.014612317,0.849338729,0.165268456,0.329621011,0.385425051,0.204039229,0.09325133,0.098570479,0.090591755,0.062915559,0.057347074,0.040807846,0.025016622,0.04247008,0.068317819,0.081117021,0.064660904,0.032746011,0.012965426,0.009973404,0.015209441,29.6,23,16.5,41,17285,69
31,HEGEWISCH,9338,16,0.001713429,408,0.043692439,4887,0.52334547,3971,0.42525166,56,0.005997001,0.117048619,0.819981584,0.188152241,0.756832911,0.170920009,0.100028177,0.056635672,0.065088757,0.044519583,0.068469992,0.040011271,0.051563821,0.049309665,0.024795717,0.071287687,0.100873485,0.134685827,0.083403776,0.027049873,0.073260073,0.009016624,17.1,9.6,19.2,42.9,22677,55
32,HERMOSA,24836,204,0.008213883,377,0.015179578,22174,0.892816879,1814,0.073039137,267,0.010750523,0.351344822,0.584514136,0.097844336,0.395637729,0.22025204,0.081467572,0.061245125,0.083200924,0.070778564,0.085078723,0.084645385,0.067311859,0.04752275,0.036978189,0.072078579,0.112090134,0.097645529,0.047233858,0.028311426,0.01791131,0.006500072,20.5,13.1,41.6,36.4,15089,20
33,HUMBOLDT PARK,54515,270,0.004952765,22604,0.414638173,28095,0.515362744,2863,0.052517656,683,0.012528662,0.153810878,0.693603016,0.127460378,0.353474504,0.34389182,0.169039796,0.07867835,0.079225995,0.070889619,0.068455641,0.067847146,0.05397347,0.048010223,0.037239869,0.067603748,0.092795424,0.092369478,0.037604965,0.010892053,0.015516612,0.009857612,33.9,17.3,35.4,38,13781,23
34,HYDE PARK,26705,3242,0.121400487,8519,0.319003932,1681,0.062947014,12298,0.460513013,965,0.036135555,0.178281221,0.959351477,0.715055009,0.352028927,0.221358174,0.149859381,0.05672961,0.035596625,0.05423865,0.054720771,0.052069104,0.034391322,0.038569707,0.031980715,0.085094415,0.110646846,0.077862595,0.06733628,0.04226597,0.045078345,0.063559663,18.4,8.4,4.3,26.2,39056,41
35,IRVING PARK,56490,4287,0.075889538,1646,0.029137901,26558,0.470136307,22492,0.398158966,1507,0.026677288,0.33377589,0.787605619,0.342861546,0.450253532,0.139066234,0.064047654,0.045143504,0.049968001,0.057500123,0.059173928,0.06006006,0.0634569,0.054792497,0.059420076,0.075370452,0.083345641,0.121597007,0.072022843,0.047998818,0.043223551,0.042878945,13.1,10,22.4,31.6,27249,16
36,JEFFERSON PARK,26975,2341,0.086784059,340,0.012604263,5374,0.199221501,18362,0.680704356,558,0.02068582,0.262502317,0.866118523,0.318750646,0.634602076,0.08850182,0.052298566,0.053287197,0.055264459,0.049233811,0.040632724,0.065447355,0.034799802,0.039644093,0.032130499,0.062184874,0.093425606,0.139792388,0.091151755,0.07266436,0.069896194,0.048146317,8.6,12.4,13.4,35.5,27751,11
37,KENWOOD,18217,1492,0.081901521,12362,0.678596915,701,0.03848054,3236,0.177636274,426,0.023384751,0.126145908,0.90342557,0.539154974,0.300985761,0.235150303,0.165607886,0.063636364,0.065279299,0.057502738,0.0516977,0.057721796,0.04162103,0.055859803,0.02135816,0.066155531,0.065060241,0.078970427,0.076341731,0.024644031,0.042497262,0.066046002,21.7,15.7,11.3,35.4,35911,39
38,LAKE VIEW,97968,6639,0.067767026,3430,0.035011432,7133,0.072809489,78123,0.797433856,2643,0.026978197,0.121376368,0.975967921,0.787152185,0.372752513,0.11597925,0.071019627,0.032072762,0.028913356,0.030234562,0.032972714,0.024662518,0.03530876,0.042719004,0.036553375,0.068204883,0.092618478,0.122948779,0.106749641,0.062766874,0.075327908,0.136926759,11.4,4.7,2.6,17,60058,6
39,LINCOLN PARK,65951,3633,0.055086352,2691,0.04080302,4771,0.072341587,53345,0.808858092,1511,0.022910949,0.098967415,0.96865886,0.823314326,0.436676893,0.125368755,0.082241021,0.039261256,0.027516966,0.024108333,0.016888228,0.030956586,0.02299278,0.031483375,0.023209693,0.053484553,0.083201636,0.113197608,0.099718013,0.062594899,0.100957516,0.188187537,12.3,5.1,3.6,21.5,71551,7
40,LINCOLN SQUARE,39547,4738,0.119806812,1525,0.038561711,6236,0.157685792,25865,0.654031911,1183,0.029913773,0.249121299,0.894419795,0.575833144,0.383512949,0.131879117,0.072053264,0.035885572,0.0517971,0.04389776,0.040963719,0.033290075,0.050612199,0.046888224,0.038198951,0.066918693,0.115273938,0.126897252,0.075777239,0.056367432,0.063533262,0.08164532,10.9,8.2,13.4,25.5,37524,4
41,LOGAN SQUARE,74055,1896,0.025602593,3934,0.053122679,34658,0.468003511,32081,0.43320505,1486,0.020066167,0.18345824,0.861593582,0.458330088,0.378287786,0.193889733,0.07124534,0.055717071,0.043164483,0.059718849,0.048363375,0.049457879,0.040086192,0.045148271,0.035434552,0.07938571,0.100352293,0.105859014,0.077743955,0.051954715,0.071518966,0.064849335,16.8,8.2,14.8,26.2,31908,22
42,LOOP,30642,5131,0.167449905,3786,0.123555904,1823,0.059493506,19094,0.623131649,808,0.026369036,0.209222636,0.977419355,0.783139785,0.417455373,0.136945958,0.090870972,0.046962981,0.009344675,0.014256619,0.024799329,0.025278543,0.01395711,0.03096921,0.028633042,0.053312567,0.07721337,0.136695819,0.116209417,0.074937103,0.113573739,0.142985504,14.7,5.7,3.1,13.5,65526,32
43,LOWER WEST SIDE,34979,383,0.010949427,1294,0.036993625,28661,0.819377341,4303,0.123016667,338,0.009662941,0.387489637,0.649201597,0.21411722,0.258045542,0.289949964,0.104781111,0.062263675,0.084950844,0.08579111,0.083270313,0.077724561,0.052600622,0.04436602,0.053524914,0.08335434,0.096966641,0.079321065,0.038652214,0.023947567,0.016133098,0.012351903,25.8,15.8,40.7,32.6,16444,31
