"","COMMAREA","COMMAREANO","NOEVENTS"
"1","ALBANY PARK",14,2263
"2","ARCHER HEIGHTS",57,594
"3","ARMOUR SQUARE",34,149
"4","ASHBURN",70,3677
"5","AUBURN GRESHAM",71,4183
"6","AUSTIN",25,8590
"7","AVALON PARK",45,1870
"8","AVONDALE",21,1399
"9","BELMONT CRAGIN",19,2865
"10","BEVERLY",72,2091
"11","BRIDGEPORT",60,773
"12","BRIGHTON PARK",58,1128
"13","BURNSIDE",47,613
"14","CALUMET HEIGHTS",48,3128
"15","CHATHAM",44,4444
"16","CHICAGO LAWN",66,5443
"17","CLEARING",64,2036
"18","DOUGLAS",35,307
"19","DUNNING",17,3088
"20","EAST GARFIELD PARK",27,869
"21","EAST SIDE",52,942
"22","EDGEWATER",77,1208
"23","EDISON PARK",9,1243
"24","ENGLEWOOD",68,1542
"25","FOREST GLEN",12,2262
"26","FULLER PARK",37,193
"27","GAGE PARK",63,1488
"28","GARFIELD RIDGE",56,2277
"29","GRAND BOULEVARD",38,696
"30","GREATER GRAND CROSSING",69,3169
"31","HEGEWISCH",55,644
"32","HERMOSA",20,807
"33","HUMBOLDT PARK",23,2325
"34","HYDE PARK",41,519
"35","IRVING PARK",16,2243
"36","JEFFERSON PARK",11,1731
"37","KENWOOD",39,367
"38","LAKE VIEW",6,2505
"39","LINCOLN PARK",7,1997
"40","LINCOLN SQUARE",4,1447
"41","LOGAN SQUARE",22,2521
"42","LOOP",32,301
"43","LOWER WEST SIDE",31,1014
"44","MCKINLEY PARK",59,464
"45","MONTCLARE",18,724
"46","MORGAN PARK",75,2241
"47","MOUNT GREENWOOD",74,1616
"48","NEAR NORTH SIDE",8,625
"49","NEAR SOUTH SIDE",33,178
"50","NEAR WEST SIDE",28,1306
"51","NEW CITY",61,1702
"52","NORTH CENTER",5,1580
"53","NORTH LAWNDALE",29,1469
"54","NORTH PARK",13,1426
"55","NORWOOD PARK",10,3642
"56","O'HARE",76,371
"57","OAKLAND",36,125
"58","PORTAGE PARK",15,2857
"59","PULLMAN",50,913
"60","RIVERDALE",54,155
"61","ROGERS PARK",1,1337
"62","ROSELAND",49,4891
"63","SOUTH CHICAGO",46,2405
"64","SOUTH DEERING",51,1695
"65","SOUTH LAWNDALE",30,1861
"66","SOUTH SHORE",43,2957
"67","UPTOWN",3,1373
"68","WASHINGTON HEIGHTS",73,3980
"69","WASHINGTON PARK",40,435
"70","WEST ELSDON",62,889
"71","WEST ENGLEWOOD",67,2902
"72","WEST GARFIELD PARK",26,1035
"73","WEST LAWN",65,2195
"74","WEST PULLMAN",53,3103
"75","WEST RIDGE",2,3041
"76","WEST TOWN",24,2603
"77","WOODLAWN",42,1089
