"","V1","V2"
"1",14,3
"2",57,3
"3",34,2
"4",70,2
"5",71,1
"6",25,1
"7",45,1
"8",21,3
"9",19,3
"10",72,2
"11",60,2
"12",58,3
"13",47,1
"14",48,2
"15",44,1
"16",66,3
"17",64,2
"18",35,2
"19",17,2
"20",27,1
"21",52,3
"22",77,4
"23",9,2
"24",68,1
"25",12,4
"26",37,1
"27",63,3
"28",56,2
"29",38,1
"30",69,1
"31",55,3
"32",20,3
"33",23,3
"34",41,4
"35",16,2
"36",11,2
"37",39,2
"38",6,4
"39",7,4
"40",4,4
"41",22,3
"42",32,4
"43",31,3
"44",59,3
"45",18,3
"46",75,2
"47",74,2
"48",8,4
"49",33,4
"50",28,4
"51",61,3
"52",5,4
"53",29,1
"54",13,2
"55",10,2
"56",76,3
"57",36,4
"58",15,3
"59",50,1
"60",54,2
"61",1,3
"62",49,1
"63",46,1
"64",51,2
"65",30,3
"66",43,1
"67",3,2
"68",73,2
"69",40,1
"70",62,3
"71",67,1
"72",26,1
"73",65,3
"74",53,1
"75",2,3
"76",24,3
"77",42,1
