"","V1","V2"
"1",14,2
"2",57,3
"3",34,2
"4",70,1
"5",71,4
"6",25,4
"7",45,4
"8",21,3
"9",19,3
"10",72,1
"11",60,2
"12",58,3
"13",47,1
"14",48,4
"15",44,4
"16",66,3
"17",64,1
"18",35,4
"19",17,1
"20",27,4
"21",52,3
"22",77,2
"23",9,1
"24",68,4
"25",12,1
"26",37,4
"27",63,3
"28",56,1
"29",38,4
"30",69,4
"31",55,1
"32",20,3
"33",23,3
"34",41,2
"35",16,2
"36",11,1
"37",39,2
"38",6,2
"39",7,2
"40",4,2
"41",22,2
"42",32,2
"43",31,3
"44",59,3
"45",18,3
"46",75,1
"47",74,1
"48",8,2
"49",33,2
"50",28,2
"51",61,3
"52",5,2
"53",29,4
"54",13,2
"55",10,1
"56",76,2
"57",36,4
"58",15,1
"59",50,4
"60",54,4
"61",1,2
"62",49,4
"63",46,4
"64",51,4
"65",30,3
"66",43,4
"67",3,2
"68",73,4
"69",40,4
"70",62,3
"71",67,4
"72",26,4
"73",65,3
"74",53,4
"75",2,2
"76",24,2
"77",42,4
