"","COMMAREA","COMMAREANO","NOEVENTS"
"1","ALBANY PARK",14,1315
"2","ARCHER HEIGHTS",57,235
"3","ARMOUR SQUARE",34,106
"4","ASHBURN",70,1427
"5","AUBURN GRESHAM",71,1713
"6","AUSTIN",25,3735
"7","AVALON PARK",45,657
"8","AVONDALE",21,764
"9","BELMONT CRAGIN",19,1738
"10","BEVERLY",72,1018
"11","BRIDGEPORT",60,447
"12","BRIGHTON PARK",58,576
"13","BURNSIDE",47,140
"14","CALUMET HEIGHTS",48,747
"15","CHATHAM",44,1714
"16","CHICAGO LAWN",66,1648
"17","CLEARING",64,592
"18","DOUGLAS",35,257
"19","DUNNING",17,1868
"20","EAST GARFIELD PARK",27,429
"21","EAST SIDE",52,571
"22","EDGEWATER",77,863
"23","EDISON PARK",9,726
"24","ENGLEWOOD",68,1000
"25","FOREST GLEN",12,1514
"26","FULLER PARK",37,133
"27","GAGE PARK",63,605
"28","GARFIELD RIDGE",56,993
"29","GRAND BOULEVARD",38,511
"30","GREATER GRAND CROSSING",69,1633
"31","HEGEWISCH",55,391
"32","HERMOSA",20,396
"33","HUMBOLDT PARK",23,1201
"34","HYDE PARK",41,433
"35","IRVING PARK",16,1490
"36","JEFFERSON PARK",11,1080
"37","KENWOOD",39,291
"38","LAKE VIEW",6,1910
"39","LINCOLN PARK",7,1663
"40","LINCOLN SQUARE",4,1081
"41","LOGAN SQUARE",22,1718
"42","LOOP",32,214
"43","LOWER WEST SIDE",31,669
"44","MCKINLEY PARK",59,269
"45","MONTCLARE",18,513
"46","MORGAN PARK",75,1170
"47","MOUNT GREENWOOD",74,856
"48","NEAR NORTH SIDE",8,469
"49","NEAR SOUTH SIDE",33,136
"50","NEAR WEST SIDE",28,1016
"51","NEW CITY",61,957
"52","NORTH CENTER",5,1123
"53","NORTH LAWNDALE",29,796
"54","NORTH PARK",13,920
"55","NORWOOD PARK",10,1882
"56","O'HARE",76,250
"57","OAKLAND",36,105
"58","PORTAGE PARK",15,1870
"59","PULLMAN",50,261
"60","RIVERDALE",54,101
"61","ROGERS PARK",1,957
"62","ROSELAND",49,2197
"63","SOUTH CHICAGO",46,1093
"64","SOUTH DEERING",51,986
"65","SOUTH LAWNDALE",30,1169
"66","SOUTH SHORE",43,1764
"67","UPTOWN",3,1148
"68","WASHINGTON HEIGHTS",73,1588
"69","WASHINGTON PARK",40,322
"70","WEST ELSDON",62,332
"71","WEST ENGLEWOOD",67,1464
"72","WEST GARFIELD PARK",26,413
"73","WEST LAWN",65,547
"74","WEST PULLMAN",53,1605
"75","WEST RIDGE",2,2043
"76","WEST TOWN",24,1858
"77","WOODLAWN",42,733
